Starting training on 'adult' dataset...
Number of features (actions): 14
------------------------------
Episode 19600 | Feature: relationship         | Reward:   0.2283 | Acc: 0.7033 | DPG: 0.3319 | Loss:   0.0045
Episode 19700 | Feature: relationship         | Reward:   0.1750 | Acc: 0.7467 | DPG: 0.3240 | Loss:   0.0004
Episode 19800 | Feature: relationship         | Reward:   0.2367 | Acc: 0.6933 | DPG: 0.2991 | Loss:   0.0031
Episode 19900 | Feature: relationship         | Reward:   0.1783 | Acc: 0.7333 | DPG: 0.5416 | Loss:  -0.0003
Episode 20000 | Feature: relationship         | Reward:   0.1933 | Acc: 0.6667 | DPG: 0.2953 | Loss:   0.0002

All Non-Zero Features (Sorted by DPG):
Feature                  | Avg DPG  | Acc + Fairness
------------------------------------------------------------
1. education            | Avg DPG: 0.4736 | Utility Score: 0.6759
2. workclass            | Avg DPG: 0.3314 | Utility Score: 0.7450
3. relationship         | Avg DPG: 0.3211 | Utility Score: 0.6943
4. marital.status       | Avg DPG: 0.2938 | Utility Score: 0.7638
5. race                 | Avg DPG: 0.2771 | Utility Score: 0.7727
6. capital.loss         | Avg DPG: 0.2262 | Utility Score: 0.8005
7. age                  | Avg DPG: 0.2124 | Utility Score: 0.8086
8. hours.per.week       | Avg DPG: 0.2075 | Utility Score: 0.8108
9. sex                  | Avg DPG: 0.1878 | Utility Score: 0.8204
10. occupation           | Avg DPG: 0.1740 | Utility Score: 0.8221
11. education.num        | Avg DPG: 0.1103 | Utility Score: 0.8381
12. native.country       | Avg DPG: 0.0979 | Utility Score: 0.8644
13. fnlwgt               | Avg DPG: 0.0894 | Utility Score: 0.8695
14. capital.gain         | Avg DPG: 0.0273 | Utility Score: 0.8986


7h 47m 30s
PC:
AMD Ryzen 5 5600GT (12) @ 4.67 GHz
MD Radeon Vega Series / Radeon Vega Mobile Series [Integrated]
16gb ram
arch linux

RL_TRAINING_PARAMETERS = {
    "num_episodes": 20000,
    "learning_rate": 1e-3,
    "lambda": 0.5,
    "sample_size": 300,
}
